year,Australia,Austria,Belgium,Canada,Chile,Colombia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
2014,22.74,9.03,10.21,20.98,5.28,3.51,11.91,9.38,15.97,10.73,10.73,7.05,10.98,9.17,6.00,14.54,12.47,9.85,7.12,10.53,6.59,19.43,6.14,10.99,18.43,10.45,9.93,7.32,8.09,6.86,5.52,6.04,6.00,8.22
2015,22.76,9.18,10.52,20.63,5.59,3.60,12.14,8.83,13.63,10.04,10.04,7.07,10.99,8.88,6.34,14.64,12.85,10.04,7.31,10.24,6.76,18.15,6.16,11.35,18.05,10.45,10.00,7.45,8.18,7.11,5.44,5.91,6.02,7.84
2016,22.74,9.19,10.34,19.94,5.76,3.60,12.22,9.11,14.85,10.53,10.53,7.09,10.84,8.57,6.43,14.30,13.19,9.85,7.26,10.10,6.87,17.31,6.44,11.32,17.20,10.19,10.28,7.55,8.60,6.86,5.36,5.89,6.18,7.37
2017,22.75,9.39,10.27,20.04,5.70,3.48,12.21,8.58,15.76,10.25,9.99,7.11,10.62,8.95,6.66,14.01,12.88,9.58,7.16,9.99,7.01,17.24,6.14,11.09,17.17,9.98,10.66,7.74,8.64,7.11,5.20,5.73,6.41,7.13
2018,22.45,8.98,10.26,20.03,5.67,3.62,11.98,8.58,15.10,10.16,10.16,6.79,10.23,8.67,6.67,13.30,12.64,9.44,7.11,9.64,6.95,17.01,6.08,10.73,16.85,10.19,10.09,7.71,8.53,6.96,5.05,5.51,6.28,6.98
2019,21.87,9.08,10.12,19.78,5.68,3.68,11.47,7.87,10.94,9.27,9.40,6.62,9.55,8.05,6.65,12.56,11.56,9.40,6.93,8.89,7.04,14.37,6.06,10.33,16.05,9.18,9.71,7.27,7.59,6.51,4.88,5.05,6.07,6.69
2020,20.91,8.37,8.37,18.04,5.35,3.48,10.57,7.40,8.53,9.49,8.62,6.00,8.76,7.09,6.46,12.69,11.98,8.80,6.33,9.11,7.00,14.69,5.67,9.33,16.03,9.11,9.75,6.77,7.59,6.13,4.44,5.21,6.18,6.08
2021,20.40,8.11,8.71,18.03,5.69,3.58,10.48,7.52,9.44,8.60,8.20,6.34,9.10,7.37,6.59,12.57,11.54,8.94,6.89,8.91,6.53,12.57,5.63,8.55,15.20,9.11,10.48,7.51,7.36,6.02,4.21,4.75,6.62,5.61
2022,19.98,7.52,8.11,17.66,5.68,3.58,8.71,7.00,7.40,9.27,8.62,6.07,8.91,7.47,6.17,11.99,10.57,8.53,6.91,8.60,6.25,11.68,5.92,8.11,14.77,8.95,9.91,7.06,6.99,5.63,4.21,4.59,6.43,5.61
2023,19.93,7.52,8.38,17.65,5.67,3.58,9.44,6.55,7.94,7.32,5.65,7.94,7.02,7.06,5.65,10.57,8.43,6.45,8.59,9.17,11.68,14.77,7.85,8.40,8.95,6.25,6.53,5.09,4.20,4.21,6.86
